,price,typ,lat,lon,beds,baths,sqft,zip code,locality,solddate
"3407 Lorelei Dr Yorktown Heights, NY 10598","$542,400",SingleFamilyResidence,41.323853,-73.789825,3bd,Error,Error,10598,Yorktown Heights,"MAY 25, 2022"
"28 Deer Spring Rd Redding, CT 06896","$605,000",SingleFamilyResidence,41.329411,-73.43309,4bd,Error,Error,06896,Redding,"MAY 25, 2022"
"56 Knickerbocker Ave Stamford, CT 06907","$690,000",SingleFamilyResidence,41.086254,-73.521149,4bd,Error,Error,06907,Stamford,"MAY 25, 2022"
"2494 Trelawn St Yorktown Heights, NY 10598","$628,127",SingleFamilyResidence,41.294235,-73.777939,3bd,Error,Error,10598,Yorktown Heights,"MAY 25, 2022"
"473 Wormwood Rd Fairfield, CT 06824","$625,000",SingleFamilyResidence,41.162334,-73.253273,3bd,Error,Error,06824,Fairfield,"MAY 25, 2022"
"1735 Clover Rd Mohegan Lake, NY 10547","$500,000",SingleFamilyResidence,41.323296,-73.856918,3bd,Error,Error,10547,Mohegan Lake,"MAY 25, 2022"
"91 E Rocks Rd Norwalk, CT 06851","$603,500",SingleFamilyResidence,41.135822,-73.407387,3bd,Error,Error,06851,Norwalk,"MAY 25, 2022"
"45 Beth Dr Fairfield, CT 06825","$600,000",SingleFamilyResidence,41.193424,-73.248138,4bd,Error,Error,06825,Fairfield,"MAY 25, 2022"
"81 Hunyadi Ave Fairfield, CT 06824","$589,900",SingleFamilyResidence,41.171055,-73.238495,3bd,Error,Error,06824,Fairfield,"MAY 25, 2022"
"58 Rock House Rd Easton, CT 06612","$520,000",SingleFamilyResidence,41.303917,-73.300728,5bd,Error,"7,455 sqft (on 3.01 acres)",06612,Easton,"MAY 25, 2022"
"5 Sunrise Dr Putnam Valley, NY 10579","$645,000",SingleFamilyResidence,41.355751,-73.844124,5bd,Error,Error,10579,Putnam Valley,"MAY 24, 2022"
"4 Powderhorn Rd Patterson, NY 12563","$475,000",SingleFamilyResidence,41.478916,-73.607307,4bd,Error,Error,12563,Patterson,"MAY 24, 2022"
"5 Cranberry Ln Ridgefield, CT 06877","$475,000",SingleFamilyResidence,41.259388,-73.498245,3bd,Error,Error,06877,Ridgefield,"MAY 24, 2022"
"23 Cedar Ledges Putnam Valley, NY 10579","$500,000",SingleFamilyResidence,41.380779,-73.855537,2bd,Error,Error,10579,Putnam Valley,"MAY 24, 2022"
"4 Morningside Dr Ossining, NY 10562","$618,000",SingleFamilyResidence,41.161701,-73.832085,4bd,Error,Error,10562,Ossining,"MAY 24, 2022"
"34 S Beechwood Rd Bedford Hills, NY 10507","$530,000",SingleFamilyResidence,41.228344,-73.708107,4bd,Error,Error,10507,Bedford Hills,"MAY 24, 2022"
"29 Carriage House Dr Danbury, CT 06810","$569,900",SingleFamilyResidence,41.357376,-73.48967,4bd,Error,Error,06810,Danbury,"MAY 24, 2022"
"26B Heritage Hls Somers, NY 10589","$501,000",SingleFamilyResidence,41.334038,-73.689651,2bd,Error,"1,500 sqft (on 0.99 acres)",10589,Somers,"MAY 24, 2022"
"4 Overlook Rd North Salem, NY 10560","$630,000",SingleFamilyResidence,41.332909,-73.651268,3bd,Error,Error,10560,North Salem,"MAY 24, 2022"
"2584 Gregory St Yorktown Heights, NY 10598","$675,000",SingleFamilyResidence,41.296829,-73.783691,4bd,Error,Error,10598,Yorktown Heights,"MAY 24, 2022"
"219 Strawberry Hill Ave Norwalk, CT 06851","$515,000",SingleFamilyResidence,41.119534,-73.393517,4bd,Error,Error,06851,Norwalk,"MAY 24, 2022"
"8 Francis Rd Danbury, CT 06810","$498,500",SingleFamilyResidence,41.385761,-73.435135,4bd,Error,Error,06810,Danbury,"MAY 24, 2022"
"192-194 Canfield Ave Bridgeport, CT 06605","$466,000",SingleFamilyResidence,41.161915,-73.226929,2bd,Error,"1,300 sqft",06605,Bridgeport,"MAY 24, 2022"
"18 Fairmont Rd Mahopac, NY 10541","$615,000",SingleFamilyResidence,41.383274,-73.715775,3bd,Error,Error,10541,Mahopac,"MAY 23, 2022"
"43 Wayacross Rd Mahopac, NY 10541","$610,000",SingleFamilyResidence,41.359077,-73.785873,3bd,Error,Error,10541,Mahopac,"MAY 23, 2022"
"3514 Katrina Dr Yorktown Heights, NY 10598","$625,000",SingleFamilyResidence,41.327354,-73.788429,4bd,Error,Error,10598,Yorktown Heights,"MAY 23, 2022"
"56 Odin Ct Yorktown Heights, NY 10598","$679,500",SingleFamilyResidence,41.298946,-73.775276,3bd,Error,"1,669 sqft",10598,Yorktown Heights,COMING SOON 7/12
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"6 Buttonball Trl Norwalk, CT 06851","$585,000",SingleFamilyResidence,41.128517,-73.413002,3bd,Error,Error,06851,Norwalk,"MAY 23, 2022"
"18 Fairmont Rd Mahopac, NY 10541","$615,000",SingleFamilyResidence,41.383274,-73.715775,3bd,Error,Error,10541,Mahopac,"MAY 23, 2022"
"43 Wayacross Rd Mahopac, NY 10541","$610,000",SingleFamilyResidence,41.359077,-73.785873,3bd,Error,Error,10541,Mahopac,"MAY 23, 2022"
"28 Ball Pond Rd E New Fairfield, CT 06812","$635,000",SingleFamilyResidence,41.461666,-73.521202,4bd,Error,Error,06812,New Fairfield,"MAY 23, 2022"
"107 Wells Rd Shelton, CT 06468","$550,682",SingleFamilyResidence,41.339817,-73.237038,3bd,Error,"3,889 sqft (on 1.23 acres)",06468,Shelton,"MAY 23, 2022"
"84 Cottage St Trumbull, CT 06611","$590,000",SingleFamilyResidence,41.249786,-73.224411,3bd,Error,Error,06611,Trumbull,"MAY 23, 2022"
"457 Wilson St Fairfield, CT 06825","$485,000",SingleFamilyResidence,41.201042,-73.231606,2bd,Error,Error,06825,Fairfield,"MAY 23, 2022"
"13 Obtuse Rd Newtown, CT 06470","$517,500",SingleFamilyResidence,41.439987,-73.36013,4bd,Error,Error,06470,Newtown,"MAY 20, 2022"
"17 Wakerobin Rd Norwalk, CT 06851","$515,000",SingleFamilyResidence,41.15097,-73.399231,3bd,Error,Error,06851,Norwalk,"MAY 20, 2022"
"6 McKendry Ct Norwalk, CT 06853","$690,000",SingleFamilyResidence,41.075943,-73.446571,3bd,Error,Error,06853,Norwalk,"MAY 20, 2022"
"20 Juniper Rd Newtown, CT 06470","$540,000",SingleFamilyResidence,41.403934,-73.307175,3bd,Error,Error,06470,Newtown,"MAY 20, 2022"
"17 Cranbury Woods Rd Norwalk, CT 06851","$636,000",SingleFamilyResidence,41.156517,-73.395721,3bd,Error,Error,06851,Norwalk,"MAY 20, 2022"
"192 Edgewood Rd Fairfield, CT 06825","$690,000",SingleFamilyResidence,41.19482,-73.227829,3bd,Error,Error,06825,Fairfield,"MAY 20, 2022"
"27 Hilltop Ave Stamford, CT 06907","$675,000",SingleFamilyResidence,41.099567,-73.528847,4bd,Error,Error,06907,Stamford,"MAY 20, 2022"
"36 Hale St Westport, CT 06880","$650,000",SingleFamilyResidence,41.12299,-73.35582,4bd,Error,Error,06880,Westport,"MAY 20, 2022"
"59 Dagmar Rd Stamford, CT 06905","$610,000",SingleFamilyResidence,41.094204,-73.528557,3bd,Error,Error,06905,Stamford,"MAY 20, 2022"
"24 Cross St Hawthorne, NY 10532","$646,000",SingleFamilyResidence,41.10611,-73.794952,3bd,Error,"2,200 sqft",10532,Hawthorne,"MAY 20, 2022"
"182 Clay Hill Rd Stamford, CT 06905","$575,000",SingleFamilyResidence,41.097515,-73.55751,3bd,Error,Error,06905,Stamford,"MAY 20, 2022"
"106 Woodhaven Dr Trumbull, CT 06611","$660,000",SingleFamilyResidence,41.283287,-73.244072,4bd,Error,Error,06611,Trumbull,"MAY 20, 2022"
"14 Weed Rd Bethel, CT 06801","$580,000",SingleFamilyResidence,41.409435,-73.384895,3bd,Error,Error,06801,Bethel,"MAY 20, 2022"
"1070 Westover Rd Stamford, CT 06902","$625,000",SingleFamilyResidence,41.090996,-73.581169,4bd,Error,Error,06902,Stamford,"MAY 20, 2022"
"19 Isabella Ct Brewster, NY 10509","$695,000",SingleFamilyResidence,41.449512,-73.625648,3bd,Error,Error,10509,Brewster,"MAY 19, 2022"
"235 Westwood Rd Stamford, CT 06902","$665,000",SingleFamilyResidence,41.084381,-73.562309,5bd,Error,Error,06902,Stamford,"MAY 19, 2022"
"9 Meadowbrook Rd Pleasantville, NY 10570","$610,000",SingleFamilyResidence,41.129997,-73.76255,3bd,Error,Error,10570,Pleasantville,"MAY 19, 2022"
"30 Tango Ln Carmel, NY 10512","$646,000",SingleFamilyResidence,41.411327,-73.676216,3bd,Error,Error,10512,Carmel,"MAY 19, 2022"
"453 Old Post Rd Bedford, NY 10506","$675,000",SingleFamilyResidence,41.199242,-73.647881,3bd,Error,Error,10506,Bedford,"MAY 19, 2022"
"223 Center Dr Mahopac, NY 10541","$465,000",SingleFamilyResidence,41.374912,-73.790382,4bd,Error,Error,10541,Mahopac,"MAY 19, 2022"
"161 Tanglewood Rd Trumbull, CT 06611","$588,000",SingleFamilyResidence,41.278782,-73.238052,3bd,Error,Error,06611,Trumbull,"MAY 19, 2022"
"3 Indian Hill Rd Brewster, NY 10509","$605,000",SingleFamilyResidence,41.446259,-73.603241,4bd,Error,Error,10509,Brewster,"MAY 19, 2022"
"3 Ash Rd Brewster, NY 10509","$470,000",SingleFamilyResidence,41.413528,-73.612396,3bd,Error,Error,10509,Brewster,"MAY 19, 2022"
"17 Dellworth Dr Yorktown Heights, NY 10501","$535,000",SingleFamilyResidence,41.327122,-73.737343,3bd,Error,"2,016 sqft",10501,Yorktown Heights,"MAY 19, 2022"
"16 Valley Pond Rd Katonah, NY 10536","$595,000",SingleFamilyResidence,41.311111,-73.72374,2bd,Error,Error,10536,Katonah,"MAY 19, 2022"
"12 Knoll St Norwalk, CT 06851","$550,000",SingleFamilyResidence,41.112434,-73.401909,3bd,Error,Error,06851,Norwalk,"MAY 19, 2022"
"145 Scarborough Rd Briarcliff Manor, NY 10510","$700,000",SingleFamilyResidence,41.146603,-73.84491,4bd,Error,"2,300 sqft (on 0.83 acres)",10510,Briarcliff Manor,"MAY 19, 2022"
"190 Babbitt Rd Bedford Hills, NY 10507","$556,000",SingleFamilyResidence,41.23951,-73.688644,3bd,Error,Error,10507,Bedford Hills,"MAY 18, 2022"
"12 Union Ave Norwalk, CT 06851","$525,000",SingleFamilyResidence,41.12505,-73.415001,3bd,Error,Error,06851,Norwalk,"MAY 18, 2022"
"74 Mount Pleasant Dr Trumbull, CT 06611","$570,000",SingleFamilyResidence,41.23679,-73.237778,4bd,Error,Error,06611,Trumbull,"MAY 18, 2022"
"32 Quincy Rd Putnam Valley, NY 10579","$493,500",SingleFamilyResidence,41.35619,-73.838768,3bd,Error,Error,10579,Putnam Valley,"MAY 18, 2022"
"130 Sarles Ln Pleasantville, NY 10570","$610,000",SingleFamilyResidence,41.137512,-73.795784,3bd,Error,Error,10570,Pleasantville,"MAY 18, 2022"
"12 Union Ave Norwalk, CT 06851","$525,000",SingleFamilyResidence,41.12505,-73.415001,3bd,Error,Error,06851,Norwalk,"MAY 18, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"74 Mount Pleasant Dr Trumbull, CT 06611","$570,000",SingleFamilyResidence,41.23679,-73.237778,4bd,Error,Error,06611,Trumbull,"MAY 18, 2022"
"13 Windaway Rd Bethel, CT 06801","$542,096",SingleFamilyResidence,41.374378,-73.380646,4bd,Error,Error,06801,Bethel,"MAY 17, 2022"
"1 Covenant Ln Weston, CT 06883","$685,000",SingleFamilyResidence,41.255112,-73.427528,3bd,Error,Error,06883,Weston,"MAY 17, 2022"
"392 Hallocks Mill Rd Yorktown Heights, NY 10598","$655,000",SingleFamilyResidence,41.279922,-73.786163,3bd,Error,Error,10598,Yorktown Heights,"MAY 17, 2022"
"7 Richmond Hill Rd Weston, CT 06883","$700,000",SingleFamilyResidence,41.24004,-73.355644,3bd,Error,Error,06883,Weston,"MAY 17, 2022"
"32 Farrell Dr Brewster, NY 10509","$550,000",SingleFamilyResidence,41.442139,-73.546333,4bd,Error,Error,10509,Brewster,"MAY 17, 2022"
"Address Not Disclosed Danbury, CT 06811","$550,000",SingleFamilyResidence,41.442497,-73.448479,3bd,Error,Error,06811,Danbury,"MAY 17, 2022"
"189 Banks Rd Easton, CT 06612","$700,000",SingleFamilyResidence,41.241684,-73.294304,3bd,Error,Error,06612,Easton,"MAY 17, 2022"
"12 Laurie Ln South Salem, NY 10590","$630,000",SingleFamilyResidence,41.258831,-73.552452,3bd,Error,Error,10590,South Salem,"MAY 17, 2022"
"17 Daves Ln Newtown, CT 06470","$660,000",SingleFamilyResidence,41.346909,-73.294579,4bd,Error,"3,050 sqft (on 19 acres)",06470,Newtown,"MAY 16, 2022"
"365 S Benson Rd Fairfield, CT 06824","$700,000",SingleFamilyResidence,41.144203,-73.24382,3bd,Error,Error,06824,Fairfield,"MAY 16, 2022"
"2 Ridge Rd Carmel, NY 10512","$682,500",SingleFamilyResidence,41.426949,-73.681091,4bd,Error,Error,10512,Carmel,"MAY 16, 2022"
"87 Lexington Ave Hawthorne, NY 10532","$686,000",SingleFamilyResidence,41.107761,-73.78936,3bd,Error,Error,10532,Hawthorne,"MAY 16, 2022"
"24 Woodbine Dr Mahopac, NY 10541","$560,000",SingleFamilyResidence,41.35701,-73.722054,3bd,Error,Error,10541,Mahopac,"MAY 16, 2022"
"1 N 3rd St Cortlandt Manor, NY 10567","$660,000",SingleFamilyResidence,41.289154,-73.858467,4bd,Error,Error,10567,Cortlandt Manor,"MAY 16, 2022"
"3272 Page Ct Yorktown Heights, NY 10598","$595,000",SingleFamilyResidence,41.319324,-73.785225,3bd,Error,Error,10598,Yorktown Heights,"MAY 16, 2022"
"57 Manchester Rd Kent Lakes, NY 10512","$615,000",SingleFamilyResidence,41.440414,-73.683929,3bd,Error,Error,10512,Kent Lakes,"MAY 16, 2022"
"14 Westgate Ter Carmel, NY 10512","$575,000",SingleFamilyResidence,41.462418,-73.644806,4bd,Error,Error,10512,Carmel,"MAY 16, 2022"
"34 Kings Ridge Rd Mahopac, NY 10541","$530,000",SingleFamilyResidence,41.365704,-73.720314,4bd,Error,"2,376 sqft (on 0.45 acres)",10541,Mahopac,"MAY 16, 2022"
"17 Tango Ln Carmel, NY 10512","$555,000",SingleFamilyResidence,41.410316,-73.67701,3bd,Error,Error,10512,Carmel,"MAY 16, 2022"
"66 Stone Pond Ter Mahopac, NY 10541","$679,000",SingleFamilyResidence,41.401924,-73.733063,4bd,Error,Error,10541,Mahopac,"MAY 16, 2022"
"62 Highland View Rd Mahopac, NY 10541","$450,000",SingleFamilyResidence,41.378826,-73.752625,3bd,Error,Error,10541,Mahopac,"MAY 16, 2022"
"77 Deer Hill Ct Carmel, NY 10512","$535,000",SingleFamilyResidence,41.46352,-73.68792,3bd,Error,Error,10512,Carmel,"MAY 16, 2022"
"18 Old Bullet Hole Rd Mahopac, NY 10541","$480,000",SingleFamilyResidence,41.390877,-73.787727,3bd,Error,Error,10541,Mahopac,"MAY 16, 2022"
"3 Rowayton Ct Norwalk, CT 06853","$665,000",SingleFamilyResidence,41.082649,-73.446098,4bd,Error,"2,428 sqft (on 0.75 acres)",06853,Norwalk,"MAY 16, 2022"
"16 Woodlawn Ave Norwalk, CT 06854","$452,000",SingleFamilyResidence,41.096096,-73.432243,3bd,Error,Error,06854,Norwalk,"MAY 16, 2022"
"54 Woodbury Ave Stamford, CT 06907","$655,000",SingleFamilyResidence,41.087486,-73.525406,4bd,Error,Error,06907,Stamford,"MAY 16, 2022"
"55 Knickerbocker Ave Stamford, CT 06907","$592,500",SingleFamilyResidence,41.086121,-73.520493,2bd,Error,Error,06907,Stamford,"MAY 16, 2022"
"48 Haig Ave Stamford, CT 06905","$575,000",SingleFamilyResidence,41.0854,-73.529671,3bd,Error,Error,06905,Stamford,"MAY 16, 2022"
"9 Clifford St Norwalk, CT 06853","$625,000",SingleFamilyResidence,41.075428,-73.445297,3bd,Error,Error,06853,Norwalk,"MAY 14, 2022"
"25 Homestead Dr Carmel, NY 10512","$452,000",SingleFamilyResidence,41.473824,-73.665009,3bd,Error,Error,10512,Carmel,"MAY 14, 2022"
"19 Mountain View Ave Ridgefield, CT 06877","$641,000",SingleFamilyResidence,41.291958,-73.498047,4bd,Error,Error,06877,Ridgefield,"MAY 13, 2022"
"59 Flint Ridge Rd Monroe, CT 06468","$451,000",SingleFamilyResidence,41.3395,-73.226997,3bd,Error,Error,06468,Monroe,"MAY 13, 2022"
"6 Cannon St Norwalk, CT 06851","$600,000",SingleFamilyResidence,41.125622,-73.409355,3bd,Error,Error,06851,Norwalk,"MAY 13, 2022"
"24 Cross St E Hawthorne, NY 10532","$646,000",SingleFamilyResidence,41.106239,-73.794655,3bd,Error,Error,10532,Hawthorne,"MAY 13, 2022"
"2 Red Barn Ln Brookfield, CT 06804","$575,000",SingleFamilyResidence,41.443474,-73.383049,4bd,Error,Error,06804,Brookfield,"MAY 13, 2022"
"207 Barlow Rd Fairfield, CT 06824","$600,000",SingleFamilyResidence,41.152798,-73.254486,3bd,Error,Error,06824,Fairfield,"MAY 13, 2022"
"44 Wenonah Rd Putnam Valley, NY 10579","$452,000",SingleFamilyResidence,41.399265,-73.837715,3bd,Error,Error,10579,Putnam Valley,"MAY 13, 2022"
"59 Flint Ridge Rd Monroe, CT 06468","$451,000",SingleFamilyResidence,41.3395,-73.226997,3bd,Error,Error,06468,Monroe,"MAY 13, 2022"
"32 Montieth Ave Hawthorne, NY 10532","$470,000",SingleFamilyResidence,41.108536,-73.79438,3bd,Error,Error,10532,Hawthorne,"MAY 13, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"275 Bedford Rd Bedford Hills, NY 10507","$565,000",SingleFamilyResidence,41.240822,-73.696693,3bd,Error,Error,10507,Bedford Hills,"MAY 13, 2022"
"6 Cannon St Norwalk, CT 06851","$600,000",SingleFamilyResidence,41.125622,-73.409355,3bd,Error,Error,06851,Norwalk,"MAY 13, 2022"
"3420 N Shelley St Mohegan Lake, NY 10547","$540,000",SingleFamilyResidence,41.320934,-73.837006,3bd,Error,Error,10547,Mohegan Lake,"MAY 13, 2022"
"16 Borough Ln Newtown, CT 06470","$530,000",SingleFamilyResidence,41.404228,-73.298073,2bd,Error,"1,025 sqft (on 0.50 acres)",06470,Newtown,"MAY 13, 2022"
"14 Chelsea Rd Bethel, CT 06801","$647,000",SingleFamilyResidence,41.380669,-73.413879,4bd,Error,Error,06801,Bethel,"MAY 13, 2022"
"1191 Route 35 South Salem, NY 10590","$555,000",SingleFamilyResidence,41.274063,-73.567627,3bd,Error,Error,10590,South Salem,"MAY 13, 2022"
"17 Dellworth Dr Yorktown Heights, NY 10598","$535,000",SingleFamilyResidence,41.327122,-73.737343,2bd,Error,Error,10598,Yorktown Heights,"MAY 12, 2022"
"6 Wayfaring Rd Norwalk, CT 06851","$550,000",SingleFamilyResidence,41.148022,-73.396317,3bd,Error,Error,06851,Norwalk,"MAY 12, 2022"
"75 Meadow Sweet Rd Cortlandt Manor, NY 10567","$610,000",SingleFamilyResidence,41.283344,-73.85453,3bd,Error,Error,10567,Cortlandt Manor,"MAY 12, 2022"
"235 Stevenson Rd Fairfield, CT 06825","$650,000",SingleFamilyResidence,41.227459,-73.249268,3bd,Error,Error,06825,Fairfield,"MAY 12, 2022"
"5 Deer Hill Dr Newtown, CT 06470","$686,395",SingleFamilyResidence,41.273384,-73.388771,4bd,Error,Error,06470,Newtown,"MAY 12, 2022"
"2 Valley Rd Carmel, NY 10512","$485,000",SingleFamilyResidence,41.364239,-73.688538,4bd,Error,"2,062 sqft (on 0.54 acres)",10512,Carmel,"MAY 12, 2022"
"4 E Meadow Dr Danbury, CT 06811","$460,000",SingleFamilyResidence,41.420311,-73.48246,3bd,Error,Error,06811,Danbury,"MAY 12, 2022"
"96 Woodbury Ave Stamford, CT 06907","$650,000",SingleFamilyResidence,41.088917,-73.524918,3bd,Error,Error,06907,Stamford,"MAY 12, 2022"
"350 Morehouse Hwy Fairfield, CT 06825","$650,000",SingleFamilyResidence,41.195469,-73.247818,3bd,Error,Error,06825,Fairfield,"MAY 12, 2022"
"4 Lowell Ct Goldens Bridge, NY 10526","$615,000",SingleFamilyResidence,41.297386,-73.66658,2bd,Error,Error,10526,Goldens Bridge,"MAY 12, 2022"
"1710 Paine St Yorktown Heights, NY 10598","$561,500",SingleFamilyResidence,41.267738,-73.775269,3bd,Error,Error,10598,Yorktown Heights,"MAY 11, 2022"
"26 Bridge Ln Yorktown Heights, NY 10501","$567,000",SingleFamilyResidence,41.325302,-73.738998,2bd,Error,"2,056 sqft (on 0.68 acres)",10501,Yorktown Heights,"MAY 11, 2022"
"29 Westlake Dr Thornwood, NY 10594","$577,000",SingleFamilyResidence,41.116978,-73.763496,4bd,Error,Error,10594,Thornwood,"MAY 11, 2022"
"37 Frances Ave Norwalk, CT 06854","$480,000",SingleFamilyResidence,41.097794,-73.431435,2bd,Error,Error,06854,Norwalk,"MAY 11, 2022"
"59 Lockwood Ln Norwalk, CT 06851","$576,000",SingleFamilyResidence,41.115868,-73.401451,3bd,Error,Error,06851,Norwalk,"MAY 11, 2022"
"24 Lancaster Dr Norwalk, CT 06850","$695,000",SingleFamilyResidence,41.121967,-73.444,4bd,Error,Error,06850,Norwalk,"MAY 11, 2022"
"7 Settlers Rd Bethel, CT 06801","$460,000",SingleFamilyResidence,41.378551,-73.373833,4bd,Error,"3,000 sqft (on 0.70 acres)",06801,Bethel,"MAY 11, 2022"
"71 Walnut Hill Rd Bethel, CT 06801","$595,000",SingleFamilyResidence,41.399258,-73.394096,5bd,Error,Error,06801,Bethel,"MAY 11, 2022"
"16 Lower Salem Rd South Salem, NY 10590","$600,000",SingleFamilyResidence,41.287811,-73.565674,3bd,Error,Error,10590,South Salem,"MAY 10, 2022"
"484 Gipsy Trail Rd Kent Lakes, NY 10512","$460,000",SingleFamilyResidence,41.45763,-73.713814,3bd,Error,"1,300 sqft (on 1.48 acres)",10512,Kent Lakes,"MAY 10, 2022"
"32 Emerson St Norwalk, CT 06855","$560,000",SingleFamilyResidence,41.103348,-73.399437,4bd,Error,Error,06855,Norwalk,"MAY 10, 2022"
"169 Jackman Ave Fairfield, CT 06825","$452,500",SingleFamilyResidence,41.197514,-73.222969,5bd,Error,"4,016 sqft (on 0.46 acres)",06825,Fairfield,"MAY 10, 2022"
"498 Gipsy Trail Rd Carmel, NY 10512","$455,000",SingleFamilyResidence,41.458256,-73.713692,3bd,Error,"2,016 sqft (on 1.26 acres)",10512,Carmel,"MAY 10, 2022"
"330 Birch Rd Mahopac, NY 10541","$475,000",SingleFamilyResidence,41.377758,-73.793617,3bd,Error,"2,900 sqft",10541,Mahopac,"MAY 10, 2022"
"98 Jefferson Ave Valhalla, NY 10595","$509,000",SingleFamilyResidence,41.077366,-73.774323,4bd,Error,Error,10595,Valhalla,"MAY 10, 2022"
"1447 Delaware Rd Mohegan Lake, NY 10547","$687,500",SingleFamilyResidence,41.32502,-73.844711,3bd,Error,Error,10547,Mohegan Lake,"MAY 10, 2022"
"15 Deerfield Dr Sandy Hook, CT 06482","$620,000",SingleFamilyResidence,41.392952,-73.263664,4bd,Error,Error,06482,Sandy Hook,"MAY 10, 2022"
"18 Kellee Dr Norwalk, CT 06854","$560,000",SingleFamilyResidence,41.103348,-73.442528,4bd,Error,Error,06854,Norwalk,"MAY 10, 2022"
"28 Laurel Ledge Ct Stamford, CT 06903","$655,000",SingleFamilyResidence,41.142277,-73.599007,3bd,Error,"3,176 sqft (on 1.42 acres)",06903,Stamford,"MAY 10, 2022"
"49 Dann Dr Stamford, CT 06905","$678,000",SingleFamilyResidence,41.080303,-73.541634,4bd,Error,Error,06905,Stamford,"MAY 10, 2022"
"58 Beaumont St Fairfield, CT 06824","$587,000",SingleFamilyResidence,41.13995,-73.266586,3bd,Error,"1,120 sqft",06824,Fairfield,"MAY 9, 2022"
"136 Longdean Rd Fairfield, CT 06824","$635,000",SingleFamilyResidence,41.132183,-73.252228,2bd,Error,Error,06824,Fairfield,"MAY 9, 2022"
"22 Foxwood Ln Thornwood, NY 10594","$550,000",SingleFamilyResidence,41.114258,-73.768089,3bd,Error,"1,387 sqft (on 0.62 acres)",10594,Thornwood,"MAY 9, 2022"
"136 Longdean Rd Fairfield, CT 06824","$635,000",SingleFamilyResidence,41.132183,-73.252228,2bd,Error,Error,06824,Fairfield,"MAY 9, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"5 2nd Ave Ossining, NY 10562","$516,000",SingleFamilyResidence,41.173393,-73.846161,5bd,Error,"1,547 sqft",10562,Ossining,"MAY 9, 2022"
"111 Stebbins Rd Carmel, NY 10512","$625,000",SingleFamilyResidence,41.372219,-73.688812,4bd,Error,Error,10512,Carmel,"MAY 9, 2022"
"135 Lake Shore Dr Pleasantville, NY 10570","$620,000",SingleFamilyResidence,41.141624,-73.769958,3bd,Error,Error,10570,Pleasantville,"MAY 9, 2022"
"47 Edge Hill Rd Fairfield, CT 06824","$500,000",SingleFamilyResidence,41.152729,-73.247116,2bd,Error,Error,06824,Fairfield,"MAY 9, 2022"
"22 Willow St Norwalk, CT 06851","$630,000",SingleFamilyResidence,41.111012,-73.404022,3bd,Error,Error,06851,Norwalk,"MAY 9, 2022"
"14 Spruce Hill Rd Weston, CT 06883","$675,000",SingleFamilyResidence,41.25095,-73.423737,2bd,Error,Error,06883,Weston,"MAY 6, 2022"
"31 Nancy Dr Danbury, CT 06811","$450,000",SingleFamilyResidence,41.418591,-73.441406,3bd,Error,Error,06811,Danbury,"MAY 6, 2022"
"165 Lake Ave Trumbull, CT 06611","$635,000",SingleFamilyResidence,41.260429,-73.237022,4bd,Error,Error,06611,Trumbull,"MAY 6, 2022"
"141 Brookfield Ave Fairfield, CT 06825","$520,000",SingleFamilyResidence,41.177364,-73.223801,3bd,Error,Error,06825,Fairfield,"MAY 6, 2022"
"35 Partridge Ln Putnam Valley, NY 10579","$555,000",SingleFamilyResidence,41.361599,-73.822678,4bd,Error,"2,118 sqft (on 1 acre)",10579,Putnam Valley,"MAY 6, 2022"
"6 Maurice St Norwalk, CT 06851","$627,000",SingleFamilyResidence,41.117119,-73.391548,3bd,Error,Error,06851,Norwalk,"MAY 6, 2022"
"68 Palmer St Stamford, CT 06907","$645,000",SingleFamilyResidence,41.092255,-73.521233,3bd,Error,Error,06907,Stamford,"MAY 6, 2022"
"96 Old Hwy Wilton, CT 06897","$467,000",SingleFamilyResidence,41.19532,-73.420929,4bd,Error,Error,06897,Wilton,"MAY 6, 2022"
"49 Stone Pond Ter Mahopac, NY 10541","$689,000",SingleFamilyResidence,41.400398,-73.732803,4bd,Error,Error,10541,Mahopac,"MAY 6, 2022"
"72 Gaymoor Dr Stamford, CT 06907","$647,000",SingleFamilyResidence,41.101196,-73.521378,4bd,Error,Error,06907,Stamford,"MAY 6, 2022"
"21-16 Sixteen Croton Lake Rd Katonah, NY 10536","$610,000",SingleFamilyResidence,41.256516,-73.698898,2bd,Error,"1,842 sqft",10536,Katonah,"MAY 6, 2022"
"479 Ruane St Fairfield, CT 06824","$675,000",SingleFamilyResidence,41.135002,-73.260414,3bd,Error,Error,06824,Fairfield,"MAY 6, 2022"
"62 Louvain St Fairfield, CT 06825","$650,000",SingleFamilyResidence,41.20224,-73.242371,4bd,Error,"2,005 sqft",06825,Fairfield,"MAY 6, 2022"
